2023 Bituminous Street Resurfacing (#8377536)
Owner: City of Crystal
"Solicitor: Crystal MN, City of"
02/21/2023 10:00 AM CST

,,,,,,Engineer Estimate,,"T. A. Schifsky & Sons, Inc",,GMH Asphalt Corporation,,Park Construction Company,,"North Valley, Inc.",,"Valley Paving, Inc",,Asphalt Surface Technologies Corp.,,Northwest,,"C. S. McCrossan Construction, Inc.",,Bituminous Roadways Inc.,,Omann Brothers Paving Inc.,
Section Title,Line Item,Item Code,Item Description,UofM,Quantity,Unit Price,Extension,Unit Price,Extension,Unit Price,Extension,Unit Price,Extension,Unit Price,Extension,Unit Price,Extension,Unit Price,Extension,Unit Price,Extension,Unit Price,Extension,Unit Price,Extension,Unit Price,Extension
,29,"=""2563.601""",TRAFFIC CONTROL,LS,1.000000000000,,,"$22,500.00","$22,500.00","$10,445.00","$10,445.00","$10,100.00","$10,100.00","$10,749.08","$10,749.08","$10,296.00","$10,296.00","$11,000.00","$11,000.00","$10,900.00","$10,900.00","$19,300.00","$19,300.00","$10,000.00","$10,000.00","$12,500.00","$12,500.00"
,30,"=""2565.601""",LOOP DETECTOR TESTING,LS,1.000000000000,,,"$3,745.00","$3,745.00","$2,193.00","$2,193.00","$1,530.00","$1,530.00",$868.61,$868.61,"$1,560.00","$1,560.00","$1,760.00","$1,760.00","$1,650.00","$1,650.00","$2,250.00","$2,250.00","$1,550.00","$1,550.00","$1,565.00","$1,565.00"
,31,"=""2565.602""",RIGID PVC LOOP DETECTOR 6'X6',EA,3.000000000000,,,"$1,551.50","$4,654.50","$1,045.00","$3,135.00","$1,390.00","$4,170.00","$1,737.23","$5,211.69","$1,416.48","$4,249.44","$1,540.00","$4,620.00","$1,500.00","$4,500.00","$2,040.00","$6,120.00","$1,400.00","$4,200.00","$1,420.00","$4,260.00"
,32,"=""2565.602""",RIGID PVC LOOP DETECTOR 15'X6',EA,1.000000000000,,,"$2,086.50","$2,086.50","$2,252.00","$2,252.00","$2,230.00","$2,230.00","$3,018.42","$3,018.42","$2,274.48","$2,274.48","$2,420.00","$2,420.00","$2,400.00","$2,400.00","$3,270.00","$3,270.00","$2,200.00","$2,200.00","$2,300.00","$2,300.00"
,33,"=""2573.502""",STORM DRAIN INLET PROTECTION,EA,17.000000000000,,,$150.00,"$2,550.00",$114.00,"$1,938.00",$190.00,"$3,230.00",$255.15,"$4,337.55",$108.81,"$1,849.77",$200.00,"$3,400.00",$125.00,"$2,125.00",$168.00,"$2,856.00",$175.00,"$2,975.00",$200.00,"$3,400.00"
,34,"=""2574.507""",BOULEVARD TOPSOIL BORROW,CY,135.000000000000,,,$45.00,"$6,075.00",$48.95,"$6,608.25",$0.01,$1.35,$52.12,"$7,036.20",$57.82,"$7,805.70",$49.17,"$6,637.95",$105.70,"$14,269.50",$44.70,"$6,034.50",$65.00,"$8,775.00",$70.00,"$9,450.00"
,35,"=""2575.604""",HYDROSEEDING ,SY,800.000000000000,,,$5.00,"$4,000.00",$7.85,"$6,280.00",$22.40,"$17,920.00",$3.25,"$2,600.00",$2.91,"$2,328.00",$4.40,"$3,520.00",$5.00,"$4,000.00",$5.05,"$4,040.00",$4.20,"$3,360.00",$2.35,"$1,880.00"
,36,"=""2582.503""","4"" BROKEN LINE, MULTI-COMP",LF,940.000000000000,,,$0.96,$902.40,$0.95,$893.00,$0.92,$864.80,$0.98,$921.20,$0.94,$883.60,$1.00,$940.00,$1.00,$940.00,$0.99,$930.60,$0.95,$893.00,$0.94,$883.60
,37,"=""2582.503""","4"" DOTTED LINE, PREFORMED THERMOPLASTIC, GROUND IN",LF,36.000000000000,,,$7.86,$282.96,$7.75,$279.00,$7.50,$270.00,$7.98,$287.28,$7.64,$275.04,$8.25,$297.00,$45.00,"$1,620.00",$8.05,$289.80,$7.50,$270.00,$7.66,$275.76
,38,"=""2582.503""","4"" SOLID LINE, MULTI-COMP",LF,310.000000000000,,,$0.96,$297.60,$0.95,$294.50,$0.92,$285.20,$0.98,$303.80,$0.94,$291.40,$1.00,$310.00,$1.00,$310.00,$0.99,$306.90,$0.95,$294.50,$0.94,$291.40
,39,"=""2582.503""","12"" SOLID LINE, MULTI-COMP",LF,30.000000000000,,,$5.44,$163.20,$5.35,$160.50,$0.08,$2.40,$5.52,$165.60,$5.28,$158.40,$5.61,$168.30,$7.00,$210.00,$5.55,$166.50,$5.10,$153.00,$5.29,$158.70
,40,"=""2582.503""","24"" SOLID LINE, PREFORMED THERMOPLASTIC, GROUND IN, ESR",LF,50.000000000000,,,$27.82,"$1,391.00",$27.45,"$1,372.50",$26.50,"$1,325.00",$28.23,"$1,411.50",$27.04,"$1,352.00",$28.60,"$1,430.00",$22.00,"$1,100.00",$28.50,"$1,425.00",$26.50,"$1,325.00",$27.09,"$1,354.50"
,41,"=""2582.503""","4"" DOUBLE SOLID LINE, MULTI-COMP",LF,1930.000000000000,,,$1.93,"$3,724.90",$1.90,"$3,667.00",$1.85,"$3,570.50",$1.95,"$3,763.50",$1.87,"$3,609.10",$1.98,"$3,821.40",$2.00,"$3,860.00",$1.95,"$3,763.50",$1.90,"$3,667.00",$1.88,"$3,628.40"
,42,"=""2582.518""","PAVEMENT MESSAGE, PREFORMED THERMOPLASTIC, GROUND IN, ESR",SF,30.000000000000,,,$29.96,$898.80,$29.55,$886.50,$28.60,$858.00,$30.40,$912.00,$29.12,$873.60,$30.80,$924.00,$25.00,$750.00,$30.70,$921.00,$28.00,$840.00,$29.18,$875.40
,43,"=""2582.518""","CROSSWALK, MULTI-COMP",SF,486.000000000000,,,$5.44,"$2,643.84",$5.35,"$2,600.10",$5.20,"$2,527.20",$5.52,"$2,682.72",$5.28,"$2,566.08",$5.61,"$2,726.46",$6.50,"$3,159.00",$5.55,"$2,697.30",$5.10,"$2,478.60",$5.29,"$2,570.94"
,44,"=""2582.518""","CROSSWALK, PREFORMED THERMOPLASTIC, GROUND IN, ESR",SF,180.000000000000,,,$13.91,"$2,503.80",$13.70,"$2,466.00",$13.30,"$2,394.00",$14.11,"$2,539.80",$13.52,"$2,433.60",$14.30,"$2,574.00",$15.00,"$2,700.00",$14.20,"$2,556.00",$13.10,"$2,358.00",$13.55,"$2,439.00"
Base Bid Total:,,,,,,,$0.00,,"$609,632.90",,"$623,706.55",,"$643,745.35",,"$646,464.66",,"$658,983.08",,"$672,727.11",,"$688,893.00",,"$699,899.60",,"$708,987.85",,"$719,219.85"
